"","Year","Film","Role","Notes"
"111",2002,"Kuch Tum Kaho Kuch Hum Kahein","Vishnupratap's wife",NA
"112",2002,"Deewangee","Mrs. Goyal",NA
"113",2003,"Pinjar","Mrs. Shyamlal",NA
"114",2003,"Aapko Pehle Bhi Kahin Dekha Hai","Jiji",NA
"115",2003,"Kaise Kahoon Ke Pyaar Hai",NA,NA
"116",2003,"Main Prem Ki Diwani Hoon","Mrs. Kapoor",NA
"117",2003,"Jaal: The Trap","Sudha Kaul",NA
"118",2003,"Fun 2shh: Dudes In the 10th Century","Mrs. DiSouza/Hiraka",NA
"119",2004,"Garv: Pride and Honour","Mrs. Shakuntala Dixit",NA
"120",2004,"Taarzan: The Wonder Car","Mrs. Chaudhary (Deven's mom)",NA
"121",2005,"Pyaar Mein Twist","Ms. Arya",NA
"122",2005,"Barsaat",NA,NA
"123",2006,"Big Brother",NA,NA
"124",2006,"Aryan",NA,NA
"125",2007,"Laaga Chunari Mein Daag",NA,NA
"126",2007,"Dhol","Dadi",NA
"127",2010,"Aashayein","Madhu",NA
"128",2010,"Krantiveer – The Revolution",NA,NA
"129",2011,"Love Breakups Zindagi",NA,NA
"130",2011,"Chala Mussaddi Office Office","Shanti","Cameo appearance"
"131",2012,"Chaar Din Ki Chandni","Pammi Kaur",NA
"132",2012,"Student of the Year","Abhimanyu's grandmother",NA
"133",2012,"A Gran Plan","Satvinder Kaur Bedi","Won — Best Actress Award at 2012 Harlem International Film Festival"
"134",2015,"Bezubaan Ishq","Savitri",NA
"135",2015,"Tina Ki Chaabi",NA,NA
