"","actresses_name","http_link"
"81","Athiya Shetty","https://en.wikipedia.org//wiki/Athiya_Shetty_(actress)"
"82","Ayesha Jhulka","https://en.wikipedia.org//wiki/Ayesha_Jhulka"
"83","Ayesha Takia","https://en.wikipedia.org//wiki/Ayesha_Takia"
"84","Babita","https://en.wikipedia.org//wiki/Babita"
"85","B. V. Radha","https://en.wikipedia.org//wiki/B._V._Radha"
"86","Barkha Bisht","https://en.wikipedia.org//wiki/Barkha_Bisht"
"87","Barsha Priyadarshini","https://en.wikipedia.org//wiki/Barsha_Priyadarshini"
"88","Barsha Rani Bishaya","https://en.wikipedia.org//wiki/Barsha_Rani_Bishaya"
"89","Bhagyashree Patwardhan","https://en.wikipedia.org//wiki/Bhagyashree_Patwardhan"
"90","Bhairavi Goswami","https://en.wikipedia.org//wiki/Bhairavi_Goswami"
"91","Bhama","https://en.wikipedia.org//wiki/Bhama"
"92","Bhanumathi","https://en.wikipedia.org//wiki/Bhanumathi_Ramakrishna"
"93","Bhanupriya","https://en.wikipedia.org//wiki/Bhanupriya"
"94","Bharathi Vishnuvardhan","https://en.wikipedia.org//wiki/Bharathi_(actress)"
"95","Bhavana","https://en.wikipedia.org//wiki/Bhavana_(Kannada_actress)"
"96","Bhavana Menon","https://en.wikipedia.org//wiki/Bhavana_Menon"
"97","Bhavana Rao","https://en.wikipedia.org//wiki/Bhavana_Rao"
"98","Bhavya","https://en.wikipedia.org//wiki/Bhavya"
"99","Bhoomika Chawla","https://en.wikipedia.org//wiki/Bhoomika_Chawla"
"100","Bijoya Ray","https://en.wikipedia.org//wiki/Bijoya_Ray"
"101","Bala Hijam","https://en.wikipedia.org//wiki/Bala_Hijam"
"102","Beena Banerjee","https://en.wikipedia.org//wiki/Beena_Banerjee"
"103","Bidita Bag","https://en.wikipedia.org//wiki/Bidita_Bag"
"104","Bindu","https://en.wikipedia.org//wiki/Bindu_(actress)"
"105","Bindu Madhavi","https://en.wikipedia.org//wiki/Bindu_Madhavi"
"106","Bipasha Basu","https://en.wikipedia.org//wiki/Bipasha_Basu"
"107","Bina Rai","https://en.wikipedia.org//wiki/Bina_Rai"
"108","Carol Gracias","https://en.wikipedia.org//wiki/Carol_Gracias"
"109","Celina Jaitley","https://en.wikipedia.org//wiki/Celina_Jaitley"
