"","Year","Film"
"1",NA,"Naina"
"2","1968","Brahmachari"
"3","1968","Suhag Raat"
"4","1967","Around the World"
"5","1967","Dil Ne Pukara"
"6","1967","Gunahon Ka Devta"
"7","1966","Mohabbat Zindagi Hai"
"8","1966","Sagaai"
"9","1965","Janwar"
"10","1965","Do Dil"
"11","1964","Geet Gaya Patharon Ne"
"12","1964","Ji Chahta Hai"
"13","1964","Shehnai"
"14","1963","Ghar Basake Dekho"
"15","1963","Grahasti"
"16","1961","Stree"
"17","1954","Subah Ka Tara"
