"","Year","Film"
"1","1967","Hamraaz"
"2","1968","Aabroo"
"3","1969","Nanak Naam Jahaz Hai"
"4","1971","Patanga"
"5","1971","Guddi"
"6","1971","Kahin Aar Kahin Paar"
"7","1973","Kahani Hum Sab Ki"
"8","1974","Vachan"
"9","1978","Premi Gangaram"
