"","name","http_link"
"78","Anugrah Bohrey","https://en.wikipedia.org/wiki/Anugrah_Bohrey"
"79","Nitin Bose","https://en.wikipedia.org/wiki/Nitin_Bose"
"80","Amiya Chakravarty","https://en.wikipedia.org/wiki/Amiya_Chakravarty_(director)"
"81","Jyoti Swaroop","https://en.wikipedia.org/wiki/Jyoti_Swaroop"
"82","Utpalendu Chakrabarty","https://en.wikipedia.org/wiki/Utpalendu_Chakrabarty"
"83","Pritish Chakraborty","https://en.wikipedia.org/wiki/Pritish_Chakraborty"
"84","Shibu Chakravarthy","https://en.wikipedia.org/wiki/Shibu_Chakravarthy"
"85","Krishan Chander","https://en.wikipedia.org/wiki/Krishan_Chander"
"86","Nagathihalli Chandrashekhar","https://en.wikipedia.org/wiki/Nagathihalli_Chandrashekhar"
"87","N. Chandra","https://en.wikipedia.org/wiki/N._Chandra"
"88","R. Chandru","https://en.wikipedia.org/wiki/R._Chandru"
"89","Basu Chatterjee","https://en.wikipedia.org/wiki/Basu_Chatterjee"
"90","Dhruva Chatterjee","https://en.wikipedia.org/wiki/Dhruva_Chatterjee"
"91","Mohit Chattopadhyay","https://en.wikipedia.org/wiki/Mohit_Chattopadhyay"
"92","Chaturbhuj Doshi","https://en.wikipedia.org/wiki/Chaturbhuj_Doshi"
"93","Juhi Chaturvedi","https://en.wikipedia.org/wiki/Juhi_Chaturvedi"
"94","Abhishek Chaubey","https://en.wikipedia.org/wiki/Abhishek_Chaubey"
"95","Saket Chaudhary","https://en.wikipedia.org/wiki/Saket_Chaudhary"
"96","Kiransinh Chauhan","https://en.wikipedia.org/wiki/Kiransinh_Chauhan"
"97","Rohit Jugraj Chauhan","https://en.wikipedia.org/wiki/Rohit_Jugraj_Chauhan"
"98","Sanjay Chauhan","https://en.wikipedia.org/wiki/Sanjay_Chauhan_(screenwriter)"
"99","Sanjay Puran Singh Chauhan","https://en.wikipedia.org/wiki/Sanjay_Puran_Singh_Chauhan"
"100","Dilip Chitre","https://en.wikipedia.org/wiki/Dilip_Chitre"
"101","Aditya Chopra","https://en.wikipedia.org/wiki/Aditya_Chopra"
"102","Baldev Raj Chopra","https://en.wikipedia.org/wiki/Baldev_Raj_Chopra"
"103","Vidhu Vinod Chopra","https://en.wikipedia.org/wiki/Vidhu_Vinod_Chopra"
"104","Ahindra Choudhury","https://en.wikipedia.org/wiki/Ahindra_Choudhury"
"105","Balachandran Chullikkadu","https://en.wikipedia.org/wiki/Balachandran_Chullikkadu"
"106","Saros Cowasjee","https://en.wikipedia.org/wiki/Saros_Cowasjee"
"107","Jaywant Dalvi","https://en.wikipedia.org/wiki/Jaywant_Dalvi"
"108","Anil Das","https://en.wikipedia.org/wiki/Anil_Das"
"109","Sukhen Das","https://en.wikipedia.org/wiki/Sukhen_Das"
"110","Buddhadeb Dasgupta","https://en.wikipedia.org/wiki/Buddhadeb_Dasgupta"
"111","Ashish Deo","https://en.wikipedia.org/wiki/Ashish_Deo"
"112","Vasant Dev","https://en.wikipedia.org/wiki/Vasant_Dev"
"113","Makarand Deshpande","https://en.wikipedia.org/wiki/Makarand_Deshpande"
"114","Purushottam Laxman Deshpande","https://en.wikipedia.org/wiki/Purushottam_Laxman_Deshpande"
"115","M. K. Binodini Devi","https://en.wikipedia.org/wiki/M._K._Binodini_Devi"
"116","K. R. Devmani","https://en.wikipedia.org/wiki/K._R._Devmani"
"117","Rajesh Devraj","https://en.wikipedia.org/wiki/Rajesh_Devraj"
"118","Ashwni Dhir","https://en.wikipedia.org/wiki/Ashwni_Dhir"
"119","Rahul Dholakia","https://en.wikipedia.org/wiki/Rahul_Dholakia"
"120","Tigmanshu Dhulia","https://en.wikipedia.org/wiki/Tigmanshu_Dhulia"
"121","Akash Dixit","https://en.wikipedia.org/wiki/Akash_Dixit"
"122","Satyadev Dubey","https://en.wikipedia.org/wiki/Satyadev_Dubey"
"123","Iqbal Durrani","https://en.wikipedia.org/wiki/Iqbal_Durrani"
"124","O. P. Dutta","https://en.wikipedia.org/wiki/O._P._Dutta"
"125","Chandraprakash Dwivedi","https://en.wikipedia.org/wiki/Chandraprakash_Dwivedi"
"126","Santhosh Echikkanam","https://en.wikipedia.org/wiki/Santhosh_Echikkanam"
"127","John Edathattil","https://en.wikipedia.org/wiki/John_Edathattil"
