"","name","http_link"
"81","V. Kumar","https://en.wikipedia.org/wiki/V._Kumar"
"82","Kumar Sanu","https://en.wikipedia.org/wiki/Kumar_Sanu"
"83","Kunnakudi Vaidyanathan","https://en.wikipedia.org/wiki/Kunnakudi_Vaidyanathan"
"84","Lalit Pandit","https://en.wikipedia.org/wiki/Lalit_Pandit"
"85","Laxmikant–Pyarelal","https://en.wikipedia.org/wiki/Laxmikant%E2%80%93Pyarelal"
"86","Lesle Lewis","https://en.wikipedia.org/wiki/Lesle_Lewis_(composer)"
"87","T. G. Lingappa","https://en.wikipedia.org/wiki/T._G._Lingappa"
"88","V. Manohar","https://en.wikipedia.org/wiki/V._Manohar"
"89","K. V. Mahadevan","https://en.wikipedia.org/wiki/K._V._Mahadevan"
"90","Lata Mangeshkar","https://en.wikipedia.org/wiki/Lata_Mangeshkar"
"91","Madan Mohan","https://en.wikipedia.org/wiki/Madan_Mohan_(composer)"
"92","Mani Sharma","https://en.wikipedia.org/wiki/Mani_Sharma"
"93","Manikanth Kadri","https://en.wikipedia.org/wiki/Manikanth_Kadri"
"94","Mano Murthy","https://en.wikipedia.org/wiki/Mano_Murthy"
"95","Manoj S","https://en.wikipedia.org/wiki/Manoj_S"
"96","Mithoon Sharma","https://en.wikipedia.org/wiki/Mithoon"
"97","Monty Sharma","https://en.wikipedia.org/wiki/Monty_Sharma"
"98","Meet Bros","https://en.wikipedia.org/wiki/Meet_Bros"
"99","Neeta Sen","https://en.wikipedia.org/wiki/Neeta_Sen"
"100","Nadeem–Shravan","https://en.wikipedia.org/wiki/Nadeem%E2%80%93Shravan"
"101","S. Narayan","https://en.wikipedia.org/wiki/S._Narayan"
"102","Naushad Ali","https://en.wikipedia.org/wiki/Naushad_Ali"
"103","Nitz 'N' Sony","https://en.wikipedia.org/wiki/Nitz_%27N%27_Sony"
"104","Nusrat Fateh Ali Khan","https://en.wikipedia.org/wiki/Nusrat_Fateh_Ali_Khan"
"105","O. P. Nayyar","https://en.wikipedia.org/wiki/O._P._Nayyar"
"106","Ouseppachan","https://en.wikipedia.org/wiki/Ouseppachan"
"107","Pankaj Mullick","https://en.wikipedia.org/wiki/Pankaj_Mullick"
"108","Papanasam Sivan","https://en.wikipedia.org/wiki/Papanasam_Sivan"
"109","Pendyala Nageswara Rao","https://en.wikipedia.org/wiki/Pendyala_Nageswara_Rao"
"110","G. V. Prakash Kumar","https://en.wikipedia.org/wiki/G._V._Prakash_Kumar"
"111","Krishnarao Phulambrikar","https://en.wikipedia.org/wiki/Krishnarao_Phulambrikar"
"112","Prashant Pillai","https://en.wikipedia.org/wiki/Prashant_Pillai"
"113","Pravin Mani","https://en.wikipedia.org/wiki/Pravin_Mani"
"114","Praveen D Rao","https://en.wikipedia.org/wiki/Praveen_D_Rao"
"115","Premgi Amaren","https://en.wikipedia.org/wiki/Premgi_Amaren"
"116","Pritam Chakraborty","https://en.wikipedia.org/wiki/Pritam_Chakraborty"
"117","A. R. Rahman","https://en.wikipedia.org/wiki/A._R._Rahman"
"118","Rahul Dev Burman","https://en.wikipedia.org/wiki/R._D._Burman"
"119","Ramjeevan","https://en.wikipedia.org/wiki/Ramjeevan"
"120","A. R. Reihana","https://en.wikipedia.org/wiki/A._R._Reihana"
"121","R. P. Patnaik","https://en.wikipedia.org/wiki/R._P._Patnaik"
"122","Raghu Dixit","https://en.wikipedia.org/wiki/Raghu_Dixit"
"123","Rahul Raj","https://en.wikipedia.org/wiki/Rahul_Raj"
"124","Raj-Koti","https://en.wikipedia.org/wiki/Raj-Koti"
"125","Perumbavoor G. Raveendranath","https://en.wikipedia.org/wiki/Perumbavoor_G._Raveendranath"
"126","M. Ranga Rao","https://en.wikipedia.org/wiki/M._Ranga_Rao"
"127","Rajan–Nagendra","https://en.wikipedia.org/wiki/Rajan%E2%80%93Nagendra"
"128","Rajesh Ramanath","https://en.wikipedia.org/wiki/Rajesh_Ramanath"
"129","Rajesh Roshan","https://en.wikipedia.org/wiki/Rajesh_Roshan"
"130","S. A. Rajkumar","https://en.wikipedia.org/wiki/S._A._Rajkumar"
"131","Ram Kadam","https://en.wikipedia.org/wiki/Ram_Kadam"
"132","Ram Lakshman","https://en.wikipedia.org/wiki/Ram_Lakshman"
"133","Ramana Gogula","https://en.wikipedia.org/wiki/Ramana_Gogula"
"134","Ramesh Naidu","https://en.wikipedia.org/wiki/Pasupuleti_Ramesh_Naidu"
"135","J. V. Raghavulu","https://en.wikipedia.org/wiki/J._V._Raghavulu"
"136","Ranjit Barot","https://en.wikipedia.org/wiki/Ranjit_Barot"
"137","Raveendran","https://en.wikipedia.org/wiki/Raveendran"
"138","V. Ravichandran","https://en.wikipedia.org/wiki/V._Ravichandran"
"139","Ravindra Jain","https://en.wikipedia.org/wiki/Ravindra_Jain"
"140","Ricky Kej","https://en.wikipedia.org/wiki/Ricky_Kej"
