"","name","http_link"
"79","Amit Bose","https://en.wikipedia.org/wiki/Amit_Bose"
"80","Debaki Bose","https://en.wikipedia.org/wiki/Debaki_Bose"
"81","Satyen Bose","https://en.wikipedia.org/wiki/Satyen_Bose_(director)"
"82","Aliakbar Campwala","https://en.wikipedia.org/wiki/Aliakbar_Campwala"
"83","Raj Chakraborty","https://en.wikipedia.org/wiki/Raj_Chakraborty"
"84","Pramod Chakravorty","https://en.wikipedia.org/wiki/Pramod_Chakravorty"
"85","Tapi Chanakya","https://en.wikipedia.org/wiki/Tapi_Chanakya"
"86","Mamas K. Chandran","https://en.wikipedia.org/wiki/Mamas_K._Chandran"
"87","Yadavan Chandran","https://en.wikipedia.org/wiki/Yadavan_Chandran"
"88","S. A. Chandrasekhar","https://en.wikipedia.org/wiki/S._A._Chandrasekhar"
"89","N. Chandra","https://en.wikipedia.org/wiki/N._Chandra"
"90","R. Chandru","https://en.wikipedia.org/wiki/R._Chandru"
"91","Chandu","https://en.wikipedia.org/wiki/Chandu_(Film_Director)"
"92","Abhishek Chaubey","https://en.wikipedia.org/wiki/Abhishek_Chaubey"
"93","Ksshitij Chaudhary","https://en.wikipedia.org/wiki/Ksshitij_Chaudhary"
"94","Sanjay Puran Singh Chauhan","https://en.wikipedia.org/wiki/Sanjay_Puran_Singh_Chauhan"
"95","Sagari Chhabra","https://en.wikipedia.org/wiki/Sagari_Chhabra"
"96","Sanjay Chhel","https://en.wikipedia.org/wiki/Sanjay_Chhel"
"97","Chi. Guru Dutt","https://en.wikipedia.org/wiki/Chi._Guru_Dutt"
"98","Sakthi Chidambaram","https://en.wikipedia.org/wiki/Sakthi_Chidambaram"
"99","Ranjay Ray Choudhury","https://en.wikipedia.org/wiki/Ranjay_Ray_Choudhury"
"100","Rensil D'Silva","https://en.wikipedia.org/wiki/Rensil_D%27Silva"
"101","Bhagwan Dada","https://en.wikipedia.org/wiki/Bhagwan_Dada"
"102","Yudhvir Dahiya","https://en.wikipedia.org/wiki/Yudhvir_Dahiya"
